as_of_date,asset_id,support_name,value_eur
2026-09-07,ALTAPROFITS:FONDS-EN-EURO-NETISSIMA,FONDS EN EURO NETISSIMA,190640.97
2026-09-07,LU1598757687,ARCELORMITTAL,18509.03
2026-09-07,FR0010380675,LAZARD ACTIONS EMERGENTES R,5391.02
2026-09-07,LU1829221024,AMUNDI NASDAQ-100 II UCITS ETF ACC,4121.17
2026-09-07,LU1829219390,AMUNDI EURO STOXX BANKS UCITS ETF ACC,16631.58
2026-09-07,LU3038520774,AMUNDI STOXX EUROPE DEFENSE UCITS ETF,4525.48
2026-09-07,DE000A0F5UK5,ISHARES STOXX EUROPE 600 BASIC RESOURCES UCITS ETF (DE),12778.35
2026-09-07,LU0533033667,AMUNDI MSCI WORLD INFORMATION TECHNOLOGY UCITS ETF EUR ACC,8246.85
2026-09-07,IE00B6R52143,ISHARES AGRIBUSINESS UCITS ETF,7748.05
2026-09-07,IE00BYZK4552,ISHARES AUTOMATION & ROBOTICS UCITS ETF,7300.36
2026-09-07,IE000I8KRLL9,ISHARES MSCI GLOBAL SEMICONDUCTORS UCITS ETF,28421.63
2026-09-07,IE00BM67HK77,XTRACKERS MSCI WORLD HEALTH CARE UCITS ETF,14890.50
2026-09-07,IE00BMG6Z448,ISHARES MSCI EM EX-CHINA UCITS ETF,4687.54
