asset_id,isin,symbol,provider,status,last_checked,quote_currency,exchange,currency_status,metadata_checked,history_status,history_start,history_end,history_checked,notes
ALTAPROFITS:FONDS-EN-EURO-EUROSSIMA,,,,manual,,,,,,,,,,Non-standard identifier or non-market support
ALTAPROFITS:FONDS-EN-EURO-NETISSIMA,,,,manual,,,,,,,,,,Non-standard identifier or non-market support
ALTAPROFITS:FONDS-CROISSANCE-GENERATIONS-CROISS-NCE-DURABLE,,,,manual,,,,,,,,,,Non-standard identifier or non-market support
LU1598757687,LU1598757687,MT.AS,yahoo,resolved,2026-09-20,EUR,AMS,verified_eur,2026-09-20,five_years,2021-09-20,2026-09-24,2026-09-24,EQUITY
NL0010273215,NL0010273215,ASML.AS,yahoo,resolved,2026-09-20,EUR,AMS,verified_eur,2026-09-20,five_years,2021-09-20,2026-09-24,2026-09-24,EQUITY
NL0000235190,NL0000235190,AIR.PA,yahoo,resolved,2026-09-20,EUR,PAR,verified_eur,2026-09-20,five_years,2021-09-20,2026-09-24,2026-09-24,EQUITY
FR0000120404,FR0000120404,AC.PA,yahoo,resolved,2026-09-20,EUR,PAR,verified_eur,2026-09-20,five_years,2021-09-20,2026-09-24,2026-09-24,EQUITY
BE0974293251,BE0974293251,ABI.BR,yahoo,resolved,2026-09-20,EUR,BRU,verified_eur,2026-09-20,five_years,2021-09-20,2026-09-24,2026-09-24,EQUITY
FR0010340141,FR0010340141,ADP.PA,yahoo,resolved,2026-09-20,EUR,PAR,verified_eur,2026-09-20,five_years,2021-09-20,2026-09-24,2026-09-24,EQUITY
NL0011794037,NL0011794037,AD.AS,yahoo,resolved,2026-09-20,EUR,AMS,verified_eur,2026-09-20,five_years,2021-09-20,2026-09-24,2026-09-24,EQUITY
FR0010313833,FR0010313833,AKE.PA,yahoo,resolved,2026-09-20,EUR,PAR,verified_eur,2026-09-20,five_years,2021-09-20,2026-09-24,2026-09-24,EQUITY
DE000A1EWWW0,DE000A1EWWW0,ADS.DE,yahoo,resolved,2026-09-20,EUR,GER,verified_eur,2026-09-20,five_years,2021-09-20,2026-09-24,2026-09-24,EQUITY
FR0010220475,FR0010220475,ALO.PA,yahoo,resolved,2026-09-20,EUR,PAR,verified_eur,2026-09-20,five_years,2021-09-20,2026-09-24,2026-09-24,EQUITY
NL0012969182,NL0012969182,ADYEN.AS,yahoo,resolved,2026-09-20,EUR,AMS,verified_eur,2026-09-20,five_years,2021-09-20,2026-09-24,2026-09-24,EQUITY
FR0012333284,FR0012333284,ABVX.PA,yahoo,resolved,2026-09-20,EUR,PAR,verified_eur,2026-09-20,five_years,2021-09-20,2026-09-24,2026-09-24,EQUITY
FR001400J770,FR001400J770,AF.PA,yahoo,resolved,2026-09-20,EUR,PAR,verified_eur,2026-09-20,five_years,2021-09-20,2026-09-24,2026-09-24,EQUITY
NL0010832176,NL0010832176,ARGX.BR,yahoo,resolved,2026-09-20,EUR,BRU,verified_eur,2026-09-20,five_years,2021-09-20,2026-09-24,2026-09-24,EQUITY
ES0113211835,ES0113211835,BBVA.MC,yahoo,resolved,2026-09-20,EUR,MCE,verified_eur,2026-09-20,five_years,2021-09-20,2026-09-24,2026-09-24,EQUITY
ES0113900J37,ES0113900J37,SAN.MC,yahoo,resolved,2026-09-20,EUR,MCE,verified_eur,2026-09-20,five_years,2021-09-20,2026-09-24,2026-09-24,EQUITY
FR0000131104,FR0000131104,BNP.PA,yahoo,resolved,2026-09-20,EUR,PAR,verified_eur,2026-09-20,five_years,2021-09-20,2026-09-24,2026-09-24,EQUITY
FR0000120503,FR0000120503,EN.PA,yahoo,resolved,2026-09-20,EUR,PAR,verified_eur,2026-09-20,five_years,2021-09-20,2026-09-24,2026-09-24,EQUITY
DE000BAY0017,DE000BAY0017,BAYN.DE,yahoo,resolved,2026-09-20,EUR,GER,verified_eur,2026-09-20,five_years,2021-09-20,2026-09-24,2026-09-24,EQUITY
FR0006174348,FR0006174348,BVI.PA,yahoo,resolved,2026-09-20,EUR,PAR,verified_eur,2026-09-20,five_years,2021-09-20,2026-09-24,2026-09-24,EQUITY
DE000BASF111,DE000BASF111,BAS.DE,yahoo,resolved,2026-09-20,EUR,GER,verified_eur,2026-09-20,five_years,2021-09-20,2026-09-24,2026-09-24,EQUITY
