date,valeur
2022-07-05,100.0026
2022-07-06,99.9936
2022-07-07,100.0014
2022-07-08,100.0114
2022-07-11,100.0194
2022-07-12,100.0287
2022-07-13,100.0268
2022-07-14,100.0241
2022-07-15,100.0338
2022-07-18,100.0533
2022-07-19,100.0451
2022-07-20,100.0492
2022-07-21,100.0473
2022-07-22,100.0558
2022-07-25,100.0642
2022-07-26,100.0686
2022-07-27,100.0727
2022-07-28,100.076
2022-07-29,100.073
2022-08-01,100.0855
2022-08-02,100.0944
2022-08-03,100.1014
2022-08-04,100.0887
2022-08-05,100.1121
2022-08-08,100.1176
2022-08-09,99.8866
2022-08-10,100.1489
2022-08-11,100.2575
2022-08-12,100.3416
2022-08-15,100.5023
2022-08-16,100.8292
2022-08-17,100.2925
2022-08-18,100.604
2022-08-19,100.0081
2022-08-22,99.389
2022-08-23,99.3757
2022-08-24,99.409
2022-08-25,99.6136
2022-08-26,99.1184
2022-08-29,98.4345
2022-08-30,97.9942
2022-08-31,97.8092
2022-09-01,97.1262
2022-09-02,97.9818
2022-09-05,97.5017
2022-09-06,97.5031
2022-09-07,97.5067
2022-09-08,97.5099
2022-09-09,97.5193
2022-09-12,97.5261
2022-09-13,96.683
2022-09-14,96.5404
2022-09-15,96.4747
2022-09-16,95.8723
2022-09-19,95.8898
2022-09-20,95.8976
2022-09-21,95.899
2022-09-22,95.9043
2022-09-23,95.906
2022-09-26,95.9173
2022-09-27,95.9276
2022-09-28,95.9351
2022-09-29,95.9372
2022-09-30,95.9418
2022-10-03,95.9555
2022-10-04,95.9694
2022-10-05,95.9565
2022-10-06,95.9782
2022-10-07,95.9839
2022-10-10,95.9988
2022-10-11,95.9984
2022-10-12,96.0094
2022-10-13,96.0076
2022-10-14,96.0164
2022-10-17,96.0288
2022-10-18,96.0227
2022-10-19,96.0359
2022-10-20,96.0426
2022-10-21,96.0404
2022-10-24,96.0585
2022-10-25,96.0652
2022-10-26,96.0631
2022-10-27,96.0744
2022-10-28,96.0755
2022-10-31,96.0857
2022-11-01,96.0992
2022-11-02,96.0992
2022-11-03,96.1088
2022-11-04,96.1177
2022-11-07,96.1333
2022-11-08,96.1556
2022-11-09,96.1103
2022-11-10,96.1758
2022-11-11,96.1933
2022-11-14,96.195
2022-11-15,96.6953
2022-11-16,96.0837
2022-11-17,95.6971
2022-11-18,96.1484
2022-11-21,95.8994
2022-11-22,96.2505
2022-11-23,96.5757
2022-11-24,96.6826
2022-11-25,96.5917
2022-11-28,96.2894
2022-11-29,96.0278
2022-11-30,96.2231
2022-12-01,96.8838
2022-12-02,96.5289
2022-12-05,96.391
2022-12-06,95.9272
2022-12-07,95.6911
2022-12-08,95.8866
2022-12-09,96.1056
2022-12-12,95.8775
2022-12-13,96.6765
2022-12-14,96.5113
2022-12-15,95.4244
2022-12-16,95.1819
2022-12-19,95.1128
2022-12-20,95.1205
2022-12-21,95.1381
2022-12-22,95.1117
2022-12-23,95.1444
2022-12-27,95.1739
2022-12-28,95.1922
2022-12-29,95.1682
2022-12-30,95.1717
2023-01-02,95.1907
2023-01-03,95.2023
2023-01-04,95.2156
2023-01-05,95.222
2023-01-06,95.2251
2023-01-09,95.2254
2023-01-10,95.1177
2023-01-11,95.2249
2023-01-12,95.3262
2023-01-13,95.3755
2023-01-16,95.443
2023-01-17,95.5946
2023-01-18,95.5837
2023-01-19,94.9139
2023-01-20,95.2294
2023-01-23,95.963
2023-01-24,96.0273
2023-01-25,95.6447
2023-01-26,96.2177
2023-01-27,96.4154
2023-01-30,96.2965
2023-01-31,96.3019
2023-02-01,96.6575
2023-02-02,97.2417
2023-02-03,97.3455
2023-02-06,96.9128
2023-02-07,96.9979
2023-02-08,97.1923
2023-02-09,97.444
2023-02-10,96.8405
2023-02-13,97.2178
2023-02-14,97.2192
2023-02-15,97.2469
2023-02-16,97.5002
2023-02-17,97.0221
2023-02-20,97.0316
2023-02-21,96.7045
2023-02-22,96.3547
2023-02-23,96.5992
2023-02-24,96.2144
2023-02-27,96.7035
2023-02-28,96.7826
2023-03-01,96.6049
2023-03-02,96.4517
2023-03-03,97.0727
2023-03-06,97.4987
2023-03-07,96.9661
2023-03-08,97.0064
2023-03-09,97.1055
2023-03-10,96.3572
2023-03-13,95.4096
2023-03-14,96.0083
2023-03-15,94.8385
2023-03-16,95.6104
2023-03-17,95.3941
2023-03-20,95.5831
2023-03-21,95.5827
2023-03-22,95.5989
2023-03-23,95.5982
2023-03-24,95.6119
2023-03-27,95.6309
2023-03-28,95.6418
2023-03-29,95.6482
2023-03-30,95.6612
2023-03-31,95.6651
2023-04-03,95.689
2023-04-04,95.621
2023-04-05,95.4842
2023-04-06,95.5217
2023-04-11,95.6847
2023-04-12,95.591
2023-04-13,95.511
2023-04-14,95.8502
2023-04-17,95.8062
2023-04-18,96.0912
2023-04-19,96.0
2023-04-20,95.9548
2023-04-21,95.8282
2023-04-24,95.8171
2023-04-25,95.4763
2023-04-26,95.1812
2023-04-27,95.2997
2023-04-28,95.5163
2023-05-02,95.2596
2023-05-03,95.3196
2023-05-04,95.1939
2023-05-05,95.3754
2023-05-08,95.4219
2023-05-09,95.4217
2023-05-10,95.4505
2023-05-11,95.4228
2023-05-12,95.4917
2023-05-15,95.5955
2023-05-16,95.5864
2023-05-17,95.7019
2023-05-18,96.2308
2023-05-19,96.3885
2023-05-22,96.4534
2023-05-23,96.3068
2023-05-24,95.7304
2023-05-25,96.1467
2023-05-26,96.8963
2023-05-29,97.0693
2023-05-30,97.0248
2023-05-31,96.4593
2023-06-01,96.7822
2023-06-02,97.3662
2023-06-05,97.53
2023-06-06,97.5046
2023-06-07,97.5329
2023-06-08,97.4426
2023-06-09,97.5833
2023-06-12,97.806
2023-06-13,98.3019
2023-06-14,98.394
2023-06-15,98.3644
2023-06-16,98.3572
2023-06-19,98.1328
2023-06-20,97.9119
2023-06-21,97.8096
2023-06-22,97.4814
2023-06-23,97.1245
2023-06-26,97.2723
2023-06-27,97.3563
2023-06-28,97.551
2023-06-29,97.665
2023-06-30,98.1132
2023-07-03,98.231
2023-07-04,98.2248
2023-07-05,98.0681
2023-07-06,97.175
2023-07-07,97.3938
2023-07-10,97.2661
2023-07-11,97.4601
2023-07-12,98.1431
2023-07-13,98.2662
2023-07-14,98.3955
2023-07-17,98.358
2023-07-18,98.4969
2023-07-19,98.6942
2023-07-20,98.4493
2023-07-21,98.5206
2023-07-24,98.6316
