date,valeur
2022-09-20,100.1783
2022-09-21,100.2868
2022-09-22,100.3018
2022-09-23,100.1127
2022-09-26,99.9835
2022-09-27,99.9806
2022-09-28,99.9732
2022-09-29,99.6474
2022-09-30,99.7001
2022-10-03,100.5529
2022-10-04,100.6908
2022-10-05,100.4986
2022-10-06,100.6726
2022-10-07,100.7098
2022-10-10,100.6528
2022-10-11,100.6541
2022-10-12,100.4341
2022-10-13,100.6104
2022-10-14,100.3971
2022-10-17,100.4987
2022-10-18,100.4042
2022-10-19,100.484
2022-10-20,100.8564
2022-10-21,100.899
2022-10-24,100.6477
2022-10-25,100.5286
2022-10-26,100.2799
2022-10-27,100.2297
2022-10-28,100.259
2022-10-31,100.3768
2022-11-01,100.8463
2022-11-02,100.6477
2022-11-03,100.8362
2022-11-04,101.0757
2022-11-07,100.628
2022-11-08,100.7326
2022-11-09,100.314
2022-11-10,99.9288
2022-11-11,99.9951
2022-11-14,100.1107
2022-11-15,100.4073
2022-11-16,99.7893
2022-11-17,99.256
2022-11-18,99.9643
2022-11-21,99.8821
2022-11-22,100.2792
2022-11-23,100.3786
2022-11-24,100.787
2022-11-25,100.6525
2022-11-28,100.3237
2022-11-29,100.9585
2022-11-30,101.3259
2022-12-01,101.3036
2022-12-02,101.2679
2022-12-05,100.896
2022-12-06,100.7699
2022-12-07,100.4793
2022-12-08,100.4305
2022-12-09,100.6462
2022-12-12,99.9454
2022-12-13,100.6647
2022-12-14,99.9918
2022-12-15,98.9227
2022-12-16,98.8436
2022-12-19,98.9926
2022-12-20,99.6362
2022-12-21,100.3707
2022-12-22,100.0641
2022-12-23,100.3971
2022-12-27,100.2601
2022-12-28,100.1891
2022-12-29,100.4797
2022-12-30,99.8553
2023-01-02,100.3231
2023-01-03,100.3372
2023-01-04,100.9398
2023-01-05,101.2854
2023-01-06,102.3394
2023-01-09,102.575
2023-01-10,102.4667
2023-01-11,102.8219
2023-01-12,103.4657
2023-01-13,103.5082
2023-01-16,103.4012
2023-01-17,103.6779
2023-01-18,104.0515
2023-01-19,103.0361
2023-01-20,103.4535
2023-01-23,103.8207
2023-01-24,103.8563
2023-01-25,104.0383
2023-01-26,104.3788
2023-01-27,104.3287
2023-01-30,104.2193
2023-01-31,104.243
2023-02-01,104.2712
2023-02-02,104.2048
2023-02-03,104.1507
2023-02-06,103.5266
2023-02-07,103.6862
2023-02-08,103.7433
2023-02-09,104.1581
2023-02-10,103.447
2023-02-13,103.8845
2023-02-14,103.9787
2023-02-15,104.2523
2023-02-16,104.7112
2023-02-17,104.4713
2023-02-20,104.6232
2023-02-21,104.3513
2023-02-22,104.0985
2023-02-23,104.4258
2023-02-24,103.4946
2023-02-27,104.3717
2023-02-28,104.4747
2023-03-01,104.1941
2023-03-02,104.3409
2023-03-03,105.2498
2023-03-06,105.5274
2023-03-07,105.1368
2023-03-08,105.2462
2023-03-09,104.9271
2023-03-10,103.9836
2023-03-13,102.0191
2023-03-14,103.0561
2023-03-15,100.872
2023-03-16,101.617
2023-03-17,100.8572
2023-03-20,101.4464
2023-03-21,102.5817
2023-03-22,102.6288
2023-03-23,102.4356
2023-03-24,101.345
2023-03-27,102.0081
2023-03-28,102.1282
2023-03-29,102.7869
2023-03-30,103.4775
2023-03-31,103.7531
2023-04-03,103.7837
2023-04-04,103.8107
2023-04-05,103.4233
2023-04-06,103.7569
2023-04-11,104.1297
2023-04-12,104.2478
2023-04-13,104.4824
2023-04-14,105.1217
2023-04-17,104.81
2023-04-18,105.1979
2023-04-19,105.3098
2023-04-20,104.7789
2023-04-21,104.956
2023-04-24,105.0336
2023-04-25,104.7251
2023-04-26,104.497
2023-04-27,104.9278
2023-04-28,104.8123
2023-05-02,104.1697
2023-05-03,104.2785
2023-05-04,103.9293
2023-05-05,104.6269
2023-05-08,104.8646
2023-05-09,104.5956
2023-05-10,104.5739
2023-05-11,104.6663
2023-05-12,104.9234
2023-05-15,104.9473
2023-05-16,104.9526
2023-05-17,104.8679
2023-05-18,105.1707
2023-05-19,105.4562
2023-05-22,105.8331
2023-05-23,105.4469
2023-05-24,104.4714
2023-05-25,104.5158
2023-05-26,105.2695
2023-05-29,105.0703
2023-05-30,105.1954
2023-05-31,104.3054
2023-06-01,104.636
2023-06-02,105.5447
2023-06-05,105.5217
2023-06-06,105.5203
2023-06-07,105.3523
2023-06-08,105.3707
2023-06-09,105.5466
2023-06-12,105.9595
2023-06-13,106.4917
2023-06-14,106.9371
2023-06-15,106.9826
2023-06-16,106.97
2023-06-19,106.7617
2023-06-20,106.4137
2023-06-21,106.0026
2023-06-22,105.9238
2023-06-23,105.5082
2023-06-26,105.7923
2023-06-27,105.5547
2023-06-28,106.104
2023-06-29,106.4198
2023-06-30,106.9516
2023-07-03,107.0102
2023-07-04,106.8663
2023-07-05,106.5606
2023-07-06,105.4742
2023-07-07,106.0487
2023-07-10,105.9527
2023-07-11,106.0251
2023-07-12,106.7723
2023-07-13,107.0439
2023-07-14,107.4266
2023-07-17,107.3226
2023-07-18,107.5853
2023-07-19,108.1107
2023-07-20,107.515
2023-07-21,107.3427
2023-07-24,107.3868
2023-07-25,107.7571
2023-07-26,107.3793
2023-07-27,108.3562
2023-07-28,108.4789
2023-07-31,108.4482
2023-08-01,108.1421
2023-08-02,107.2031
2023-08-03,107.0179
2023-08-04,107.3683
2023-08-07,107.1455
2023-08-08,106.3
2023-08-09,106.3316
2023-08-10,106.8173
2023-08-11,106.0497
2023-08-14,106.3692
2023-08-15,105.9034
2023-08-16,105.8058
2023-08-17,105.2974
2023-08-18,104.9122
2023-08-21,105.2428
2023-08-22,105.7932
2023-08-23,106.0769
2023-08-24,105.6642
2023-08-25,105.4703
2023-08-28,106.1753
2023-08-29,107.015
2023-08-30,107.1288
2023-08-31,107.2556
2023-09-01,107.3144
2023-09-04,107.3671
2023-09-05,107.3319
2023-09-06,106.6252
2023-09-07,105.9095
2023-09-08,106.2313
2023-09-11,106.1153
2023-09-12,106.1381
2023-09-13,106.3089
2023-09-14,106.83
2023-09-15,106.2896
2023-09-18,105.9856
2023-09-19,105.6907
2023-09-20,106.0789
2023-09-21,105.1653
2023-09-22,105.2083
2023-09-25,105.0413
2023-09-26,104.6309
2023-09-27,104.6762
2023-09-28,105.1305
2023-09-29,105.3942
2023-10-02,105.3873
2023-10-03,104.6255
2023-10-04,104.8853
2023-10-05,104.6398
2023-10-06,105.361
2023-10-09,105.4059
2023-10-10,106.5347
2023-10-11,106.5298
2023-10-12,106.9282
2023-10-13,106.3161
2023-10-16,107.0995
2023-10-17,107.0543
2023-10-18,106.5852
2023-10-19,106.1163
2023-10-20,104.9891
2023-10-23,105.0113
2023-10-24,105.1191
2023-10-25,105.1673
2023-10-26,104.5421
2023-10-27,104.7178
2023-10-30,104.6336
2023-10-31,104.7595
2023-11-01,105.2976
2023-11-02,106.071
2023-11-03,106.6678
2023-11-06,106.49
2023-11-07,106.9011
2023-11-08,106.7921
2023-11-09,107.296
2023-11-10,107.3518
2023-11-13,107.7063
2023-11-14,108.7053
2023-11-15,108.9024
2023-11-16,108.569
2023-11-17,108.8107
2023-11-20,109.2338
2023-11-21,108.9102
2023-11-22,109.2898
2023-11-23,109.2432
2023-11-24,109.0891
2023-11-27,109.0283
2023-11-28,109.2179
2023-11-29,109.3023
2023-11-30,109.0702
2023-12-01,109.7307
2023-12-04,109.4481
2023-12-05,109.8284
2023-12-06,110.0375
2023-12-07,110.0543
2023-12-08,110.4918
2023-12-11,110.8667
2023-12-12,111.1186
2023-12-13,111.2803
2023-12-14,111.5882
2023-12-15,111.998
2023-12-18,111.8844
2023-12-19,112.0938
2023-12-20,112.1402
2023-12-21,111.8742
2023-12-22,112.0606
2023-12-27,112.2384
2023-12-28,112.3523
2023-12-29,112.0149
2024-01-02,111.5224
2024-01-03,110.9674
2024-01-04,110.8539
2024-01-05,110.7428
2024-01-08,111.2476
2024-01-09,111.6397
2024-01-10,111.7648
2024-01-11,111.4107
2024-01-12,111.858
2024-01-15,111.9659
2024-01-16,112.0172
2024-01-17,111.5049
2024-01-18,112.4164
2024-01-19,113.1076
2024-01-22,113.8419
2024-01-23,113.633
2024-01-24,114.474
2024-01-25,114.703
2024-01-26,114.2779
2024-01-29,114.1038
2024-01-30,114.459
2024-01-31,113.908
2024-02-01,113.9983
