date,valeur
2022-09-20,100.0081
2022-09-21,100.0096
2022-09-22,100.0151
2022-09-23,100.0169
2022-09-26,100.0287
2022-09-27,100.0394
2022-09-28,100.0472
2022-09-29,100.0494
2022-09-30,100.0542
2022-10-03,100.0686
2022-10-04,100.083
2022-10-05,100.0696
2022-10-06,100.0922
2022-10-07,100.0981
2022-10-10,100.1136
2022-10-11,100.1132
2022-10-12,100.1247
2022-10-13,100.1228
2022-10-14,100.1321
2022-10-17,100.145
2022-10-18,100.1386
2022-10-19,100.1523
2022-10-20,100.1594
2022-10-21,100.1571
2022-10-24,100.1759
2022-10-25,100.183
2022-10-26,100.1807
2022-10-27,100.1926
2022-10-28,100.1936
2022-10-31,100.2043
2022-11-01,100.2184
2022-11-02,100.2184
2022-11-03,100.2284
2022-11-04,100.2376
2022-11-07,100.2539
2022-11-08,100.2546
2022-11-09,100.2642
2022-11-10,100.2702
2022-11-11,100.272
2022-11-14,100.2897
2022-11-15,100.296
2022-11-16,100.3094
2022-11-17,100.3175
2022-11-18,100.3235
2022-11-21,100.3356
2022-11-22,100.3404
2022-11-23,100.343
2022-11-24,100.3623
2022-11-25,100.3671
2022-11-28,100.3715
2022-11-29,100.3901
2022-11-30,100.3845
2022-12-01,100.3904
2022-12-02,100.4056
2022-12-05,100.4159
2022-12-06,100.2209
2022-12-07,100.0134
2022-12-08,99.9939
2022-12-09,100.215
2022-12-12,99.7673
2022-12-13,99.7754
2022-12-14,99.7736
2022-12-15,99.7843
2022-12-16,99.7994
2022-12-19,99.8152
2022-12-20,99.8233
2022-12-21,99.8418
2022-12-22,99.814
2022-12-23,99.8484
2022-12-27,99.8793
2022-12-28,99.8985
2022-12-29,99.8734
2022-12-30,99.877
2023-01-02,99.8969
2023-01-03,99.9091
2023-01-04,99.9231
2023-01-05,99.9297
2023-01-06,99.9331
2023-01-09,99.9334
2023-01-10,99.9581
2023-01-11,99.954
2023-01-12,99.9588
2023-01-13,99.9884
2023-01-16,99.9879
2023-01-17,100.1571
2023-01-18,100.4326
2023-01-19,99.503
2023-01-20,99.9025
2023-01-23,100.2751
2023-01-24,100.3507
2023-01-25,100.3968
2023-01-26,100.787
2023-01-27,100.808
2023-01-30,100.7146
2023-01-31,100.7553
2023-02-01,100.8392
2023-02-02,100.9194
2023-02-03,100.9884
2023-02-06,100.4197
2023-02-07,100.5439
2023-02-08,100.6134
2023-02-09,101.0304
2023-02-10,100.3689
2023-02-13,100.7961
2023-02-14,100.8788
2023-02-15,101.1819
2023-02-16,101.6107
2023-02-17,101.3869
2023-02-20,101.4781
2023-02-21,101.217
2023-02-22,100.9859
2023-02-23,101.286
2023-02-24,100.3952
2023-02-27,101.2358
2023-02-28,101.3204
2023-03-01,101.0322
2023-03-02,101.1829
2023-03-03,102.0239
2023-03-06,102.2927
2023-03-07,101.9225
2023-03-08,102.0165
2023-03-09,101.7378
2023-03-10,100.8565
2023-03-13,99.0009
2023-03-14,100.003
2023-03-15,97.9941
2023-03-16,98.7321
2023-03-17,98.0409
2023-03-20,98.6149
2023-03-21,98.6146
2023-03-22,98.6313
2023-03-23,98.6306
2023-03-24,98.6447
2023-03-27,98.6643
2023-03-28,98.7459
2023-03-29,99.3748
2023-03-30,100.0253
2023-03-31,100.3241
2023-04-03,100.3322
2023-04-04,100.3563
2023-04-05,100.0101
2023-04-06,100.2577
2023-04-11,100.6255
