date,valeur
2022-07-05,100.0038
2022-07-06,99.9988
2022-07-07,100.0066
2022-07-08,100.0162
2022-07-11,100.0279
2022-07-12,100.0535
2022-07-13,99.968
2022-07-14,99.9272
2022-07-15,100.0069
2022-07-18,99.9874
2022-07-19,99.951
2022-07-20,99.9868
2022-07-21,99.9886
2022-07-22,100.0067
2022-07-25,100.0103
2022-07-26,100.0493
2022-07-27,100.0684
2022-07-28,100.1514
2022-07-29,100.1778
2022-08-01,100.1793
2022-08-02,100.2075
2022-08-03,100.2284
2022-08-04,100.2009
2022-08-05,100.2085
2022-08-08,100.271
2022-08-09,100.2562
2022-08-10,100.2498
2022-08-11,100.2796
2022-08-12,100.3445
2022-08-15,100.4478
2022-08-16,100.5466
2022-08-17,100.5144
2022-08-18,100.5741
2022-08-19,100.6037
2022-08-22,100.6409
2022-08-23,100.5105
2022-08-24,100.5432
2022-08-25,100.5312
2022-08-26,100.4228
2022-08-29,100.2947
2022-08-30,100.1274
2022-08-31,100.0746
2022-09-01,99.9465
2022-09-02,100.153
2022-09-05,100.0651
2022-09-06,100.0777
2022-09-07,100.0835
2022-09-08,100.1888
2022-09-09,100.231
2022-09-12,100.2417
2022-09-13,100.154
2022-09-14,100.0667
2022-09-15,99.9974
2022-09-16,99.8959
2022-09-19,99.9055
2022-09-20,99.8739
2022-09-21,100.0262
2022-09-22,99.8887
2022-09-23,99.8869
2022-09-26,99.928
2022-09-27,99.939
2022-09-28,99.9467
2022-09-29,99.9482
2022-09-30,99.9526
2022-10-03,99.9659
2022-10-04,99.981
2022-10-05,99.9652
2022-10-06,99.9894
2022-10-07,99.9951
2022-10-10,100.0096
2022-10-11,100.0091
2022-10-12,100.0206
2022-10-13,100.0186
2022-10-14,100.0279
2022-10-17,100.0407
2022-10-18,100.0343
2022-10-19,100.048
2022-10-20,100.055
2022-10-21,100.0527
2022-10-24,100.0715
2022-10-25,100.0785
2022-10-26,100.0762
2022-10-27,100.088
2022-10-28,100.0891
2022-10-31,100.0997
2022-11-01,100.1573
2022-11-02,100.153
2022-11-03,100.169
2022-11-04,100.1979
2022-11-07,100.2746
2022-11-08,100.2757
2022-11-09,100.2206
2022-11-10,100.2302
2022-11-11,100.2519
2022-11-14,100.3303
2022-11-15,100.3901
2022-11-16,100.3775
2022-11-17,100.3733
2022-11-18,100.4889
2022-11-21,100.4998
2022-11-22,100.6126
2022-11-23,100.6288
2022-11-24,100.6822
2022-11-25,100.7284
2022-11-28,100.6211
2022-11-29,100.6535
2022-11-30,100.6937
2022-12-01,100.6366
2022-12-02,100.6222
2022-12-05,100.5473
2022-12-06,100.1084
2022-12-07,99.9046
2022-12-08,100.0086
2022-12-09,100.2232
2022-12-12,100.0439
2022-12-13,100.2385
2022-12-14,100.187
2022-12-15,99.7296
2022-12-16,99.8189
2022-12-19,99.8129
2022-12-20,99.9988
2022-12-21,100.1157
2022-12-22,100.0746
2022-12-23,100.1175
2022-12-27,100.1625
2022-12-28,100.1496
2022-12-29,100.1695
2022-12-30,100.1139
2023-01-02,100.2638
2023-01-03,100.4198
2023-01-04,100.654
2023-01-05,100.6578
2023-01-06,100.7339
2023-01-09,100.7333
2023-01-10,100.7522
2023-01-11,100.7302
2023-01-12,100.8196
2023-01-13,100.884
2023-01-16,100.8648
2023-01-17,100.8829
2023-01-18,100.7838
2023-01-19,100.2978
2023-01-20,100.6645
2023-01-23,101.1109
2023-01-24,101.1587
2023-01-25,100.9553
2023-01-26,101.3735
2023-01-27,101.5916
2023-01-30,101.5288
2023-01-31,101.5342
2023-02-01,101.9432
2023-02-02,102.6163
2023-02-03,102.7353
2023-02-06,102.2336
2023-02-07,102.2919
2023-02-08,102.4581
2023-02-09,102.6898
2023-02-10,102.1202
2023-02-13,102.4907
2023-02-14,102.4939
2023-02-15,102.6238
2023-02-16,102.8668
2023-02-17,102.2978
2023-02-20,102.3118
2023-02-21,101.9462
2023-02-22,101.574
2023-02-23,101.7947
2023-02-24,101.4616
2023-02-27,102.0097
2023-02-28,102.1081
2023-03-01,101.8815
2023-03-02,101.6861
2023-03-03,102.4699
2023-03-06,103.0044
2023-03-07,102.3277
2023-03-08,102.3771
2023-03-09,102.5009
2023-03-10,101.5517
2023-03-13,100.3486
2023-03-14,101.1024
2023-03-15,99.623
2023-03-16,100.5942
2023-03-17,100.3195
2023-03-20,100.553
2023-03-21,100.963
2023-03-22,101.0137
2023-03-23,100.9144
2023-03-24,100.3584
2023-03-27,100.566
2023-03-28,100.44
2023-03-29,101.0702
2023-03-30,101.7114
2023-03-31,101.8409
2023-04-03,102.0717
2023-04-04,101.8978
2023-04-05,101.4784
2023-04-06,101.7778
2023-04-11,102.1283
2023-04-12,102.0381
2023-04-13,101.9867
2023-04-14,102.3746
2023-04-17,102.2442
2023-04-18,102.632
2023-04-19,102.5302
2023-04-20,102.4851
2023-04-21,102.2939
2023-04-24,102.2925
2023-04-25,101.8147
2023-04-26,101.5976
2023-04-27,101.7168
2023-04-28,101.9149
2023-05-02,101.611
2023-05-03,101.5869
2023-05-04,101.0018
2023-05-05,101.8205
2023-05-08,102.0133
2023-05-09,101.9033
2023-05-10,101.9403
2023-05-11,101.8458
2023-05-12,102.0295
2023-05-15,102.2607
2023-05-16,102.2559
2023-05-17,102.3768
2023-05-18,103.1358
2023-05-19,103.2272
2023-05-22,103.4013
2023-05-23,103.2536
2023-05-24,102.3093
2023-05-25,102.861
2023-05-26,103.8878
2023-05-29,104.0271
2023-05-30,103.9817
2023-05-31,103.0536
2023-06-01,103.6314
2023-06-02,104.5292
2023-06-05,104.5886
2023-06-06,104.6798
2023-06-07,104.7688
2023-06-08,104.7484
2023-06-09,104.7954
2023-06-12,105.094
2023-06-13,105.754
2023-06-14,106.0025
2023-06-15,105.8844
2023-06-16,105.923
2023-06-19,105.6528
2023-06-20,105.3658
2023-06-21,105.232
2023-06-22,104.8068
2023-06-23,104.3448
2023-06-26,104.5302
2023-06-27,104.7419
2023-06-28,105.0015
2023-06-29,105.2242
2023-06-30,105.8564
2023-07-03,106.0997
2023-07-04,106.0899
2023-07-05,105.8852
2023-07-06,104.7266
2023-07-07,105.0077
2023-07-10,104.8375
2023-07-11,105.0867
2023-07-12,105.9684
2023-07-13,106.1262
2023-07-14,106.2921
2023-07-17,106.2382
2023-07-18,106.4165
2023-07-19,106.6705
2023-07-20,106.3514
2023-07-21,106.442
2023-07-24,106.5808
2023-07-25,106.9839
2023-07-26,106.7389
2023-07-27,107.4206
2023-07-28,107.6656
2023-07-31,107.5197
2023-08-01,107.2716
2023-08-02,106.3392
2023-08-03,106.1759
2023-08-04,106.451
2023-08-07,106.2907
2023-08-08,105.5663
2023-08-09,105.7991
2023-08-10,106.1999
2023-08-11,105.4848
2023-08-14,105.7084
2023-08-15,105.4063
2023-08-16,105.2622
2023-08-17,104.7906
2023-08-18,104.4238
2023-08-21,104.6527
2023-08-22,104.981
2023-08-23,105.3499
2023-08-24,105.0581
2023-08-25,104.9018
2023-08-28,105.4996
2023-08-29,106.1149
2023-08-30,106.2744
2023-08-31,106.1145
2023-09-01,106.274
2023-09-04,106.475
2023-09-05,106.3062
2023-09-06,105.7816
2023-09-07,105.4901
2023-09-08,105.6964
2023-09-11,105.803
2023-09-12,105.8332
2023-09-13,105.9055
2023-09-14,106.5036
2023-09-15,106.3512
2023-09-18,105.9567
2023-09-19,105.7401
2023-09-20,106.192
2023-09-21,105.1536
2023-09-22,105.1783
2023-09-25,104.9336
2023-09-26,104.4697
2023-09-27,104.5359
2023-09-28,104.9794
2023-09-29,105.0792
2023-10-02,104.7139
2023-10-03,104.0086
2023-10-04,103.9882
2023-10-05,104.0319
2023-10-06,104.5691
2023-10-09,104.4866
2023-10-10,105.4929
2023-10-11,105.5172
2023-10-12,105.5992
2023-10-13,105.1322
2023-10-16,105.5728
2023-10-17,105.4392
2023-10-18,104.8453
2023-10-19,104.4797
2023-10-20,103.4704
2023-10-23,103.3661
2023-10-24,103.2156
2023-10-25,103.249
2023-10-26,103.1221
2023-10-27,103.2369
2023-10-30,103.1654
2023-10-31,103.1903
2023-11-01,103.4225
2023-11-02,103.7961
2023-11-03,104.1122
2023-11-06,104.0369
2023-11-07,104.1337
2023-11-08,103.9791
2023-11-09,104.3143
2023-11-10,104.2505
2023-11-13,104.6786
2023-11-14,105.6372
2023-11-15,105.6999
2023-11-16,105.4246
2023-11-17,105.7579
2023-11-20,105.9759
2023-11-21,105.8149
2023-11-22,106.0756
2023-11-23,106.2101
2023-11-24,106.1598
2023-11-27,105.9799
2023-11-28,106.0888
2023-11-29,106.1478
2023-11-30,106.17
2023-12-01,106.7155
2023-12-04,106.6517
2023-12-05,106.7149
2023-12-06,106.9663
2023-12-07,107.0321
2023-12-08,107.3007
2023-12-11,107.7671
2023-12-12,107.9032
2023-12-13,107.984
2023-12-14,108.6429
