date,valeur
2022-07-05,100.0026
2022-07-06,99.9936
2022-07-07,100.0014
2022-07-08,100.0114
2022-07-11,100.0194
2022-07-12,100.0489
2022-07-13,99.9425
2022-07-14,99.8909
2022-07-15,99.9865
2022-07-18,99.9572
2022-07-19,99.911
2022-07-20,99.9529
2022-07-21,99.9533
2022-07-22,99.9736
2022-07-25,99.9727
2022-07-26,100.0185
2022-07-27,100.0401
2022-07-28,100.1397
2022-07-29,100.1702
2022-08-01,100.1666
2022-08-02,100.1993
2022-08-03,100.2231
2022-08-04,100.1876
2022-08-05,100.1951
2022-08-08,100.2661
2022-08-09,100.2508
2022-08-10,100.2441
2022-08-11,100.2743
2022-08-12,100.3404
2022-08-15,100.4453
2022-08-16,100.534
2022-08-17,100.5063
2022-08-18,100.5603
2022-08-19,100.5875
2022-08-22,100.6232
2022-08-23,100.516
2022-08-24,100.5445
2022-08-25,100.5359
2022-08-26,100.4469
2022-08-29,100.3442
2022-08-30,100.2061
2022-08-31,100.1634
2022-09-01,100.0578
2022-09-02,100.2315
2022-09-05,100.1623
2022-09-06,100.1741
2022-09-07,100.1803
2022-09-08,100.2707
2022-09-09,100.3077
2022-09-12,100.3205
2022-09-13,100.2475
2022-09-14,100.1748
2022-09-15,100.1174
2022-09-16,100.0327
2022-09-19,100.0446
2022-09-20,100.019
2022-09-21,100.1493
2022-09-22,100.0342
2022-09-23,100.0338
2022-09-26,100.0724
2022-09-27,100.0831
2022-09-28,100.0909
2022-09-29,100.093
2022-09-30,100.0978
2022-10-03,100.1122
2022-10-04,100.1267
2022-10-05,100.1133
2022-10-06,100.1359
2022-10-07,100.1418
2022-10-10,100.1573
2022-10-11,100.1569
2022-10-12,100.1684
2022-10-13,100.1665
2022-10-14,100.1758
2022-10-17,100.1887
2022-10-18,100.1823
2022-10-19,100.196
2022-10-20,100.2031
2022-10-21,100.2008
2022-10-24,100.2197
2022-10-25,100.2267
2022-10-26,100.2244
2022-10-27,100.2363
2022-10-28,100.2374
2022-10-31,100.248
2022-11-01,100.306
2022-11-02,100.3016
2022-11-03,100.3177
2022-11-04,100.3468
2022-11-07,100.4238
2022-11-08,100.425
2022-11-09,100.371
2022-11-10,100.3806
2022-11-11,100.402
2022-11-14,100.4796
2022-11-15,100.5385
2022-11-16,100.5263
2022-11-17,100.5223
2022-11-18,100.6359
2022-11-21,100.6471
2022-11-22,100.7541
2022-11-23,100.7698
2022-11-24,100.8206
2022-11-25,100.8647
2022-11-28,100.7649
2022-11-29,100.796
2022-11-30,100.8344
2022-12-01,100.781
2022-12-02,100.7679
2022-12-05,100.6986
2022-12-06,100.3337
2022-12-07,100.1648
2022-12-08,100.2531
2022-12-09,100.4337
2022-12-12,100.288
2022-12-13,100.4522
2022-12-14,100.4105
2022-12-15,100.0291
2022-12-16,100.1052
2022-12-19,100.1042
2022-12-20,100.282
2022-12-21,100.3939
2022-12-22,100.3551
2022-12-23,100.3964
2022-12-27,100.4409
2022-12-28,100.429
2022-12-29,100.4485
2022-12-30,100.3957
2023-01-02,100.54
2023-01-03,100.6892
2023-01-04,100.9131
2023-01-05,100.9171
2023-01-06,100.99
2023-01-09,100.9908
2023-01-10,101.0085
2023-01-11,100.9897
2023-01-12,101.0706
2023-01-13,101.1292
2023-01-16,101.1146
2023-01-17,101.1318
2023-01-18,101.0424
2023-01-19,100.601
2023-01-20,100.9355
2023-01-23,101.344
2023-01-24,101.3882
2023-01-25,101.204
2023-01-26,101.5852
2023-01-27,101.7843
2023-01-30,101.7294
2023-01-31,101.7352
2023-02-01,102.1108
2023-02-02,102.728
2023-02-03,102.8376
2023-02-06,102.3805
2023-02-07,102.4352
2023-02-08,102.59
2023-02-09,102.8055
2023-02-10,102.278
2023-02-13,102.6234
2023-02-14,102.6275
2023-02-15,102.7372
2023-02-16,102.9415
2023-02-17,102.4683
2023-02-20,102.4841
2023-02-21,102.1802
2023-02-22,101.8706
2023-02-23,102.0566
2023-02-24,101.7796
2023-02-27,102.242
2023-02-28,102.3256
2023-03-01,102.1378
2023-03-02,101.9758
2023-03-03,102.6323
2023-03-06,103.0827
2023-03-07,102.5197
2023-03-08,102.5623
2023-03-09,102.6671
2023-03-10,101.8759
2023-03-13,100.874
2023-03-14,101.507
2023-03-15,100.2702
2023-03-16,101.0863
2023-03-17,100.8576
2023-03-20,101.0574
2023-03-21,101.4023
2023-03-22,101.4461
2023-03-23,101.3644
2023-03-24,100.9001
2023-03-27,101.0782
2023-03-28,100.9739
2023-03-29,101.5035
2023-03-30,102.0416
2023-03-31,102.1512
2023-04-03,102.3483
2023-04-04,102.2043
2023-04-05,101.855
2023-04-06,102.1069
2023-04-11,102.4069
2023-04-12,102.3328
2023-04-13,102.2912
2023-04-14,102.617
2023-04-17,102.5121
2023-04-18,102.8376
2023-04-19,102.754
2023-04-20,102.7177
2023-04-21,102.5593
2023-04-24,102.5623
2023-04-25,102.1643
2023-04-26,101.9841
2023-04-27,102.0852
2023-04-28,102.2523
2023-05-02,102.0037
2023-05-03,101.9848
2023-05-04,101.4966
2023-05-05,102.1837
2023-05-08,102.3492
2023-05-09,102.2585
2023-05-10,102.2908
2023-05-11,102.2132
2023-05-12,102.3683
2023-05-15,102.5658
2023-05-16,102.5632
2023-05-17,102.6657
2023-05-18,103.3015
2023-05-19,103.3792
2023-05-22,103.5287
2023-05-23,103.4069
2023-05-24,102.62
2023-05-25,103.0828
2023-05-26,103.942
2023-05-29,104.0624
2023-05-30,104.0259
2023-05-31,103.2533
2023-06-01,103.7372
2023-06-02,104.4877
2023-06-05,104.5415
2023-06-06,104.6189
2023-06-07,104.6945
2023-06-08,104.6789
2023-06-09,104.7195
2023-06-12,104.9724
2023-06-13,105.5233
2023-06-14,105.7314
2023-06-15,105.6346
2023-06-16,105.6681
2023-06-19,105.4477
2023-06-20,105.2104
2023-06-21,105.1004
2023-06-22,104.7478
2023-06-23,104.3643
2023-06-26,104.5231
2023-06-27,104.701
2023-06-28,104.9188
2023-06-29,105.1057
2023-06-30,105.6335
2023-07-03,105.8401
2023-07-04,105.8334
2023-07-05,105.6646
2023-07-06,104.7023
2023-07-07,104.938
2023-07-10,104.8005
2023-07-11,105.0095
2023-07-12,105.7454
2023-07-13,105.878
2023-07-14,106.0174
2023-07-17,105.9769
2023-07-18,106.1266
2023-07-19,106.3391
2023-07-20,106.0754
2023-07-21,106.1521
2023-07-24,106.2718
2023-07-25,106.6083
